Country,MAPE_External,R2_External,MAPE_Seasonal,R2_Seasonal,MAPE_Change,R2_Change
Argentina,15.17,-0.16,16.41,-0.11,1.24,0.04
Australia,5.57,0.18,4.99,0.47,-0.58,0.29
Brazil,11.88,-0.22,9.65,0.07,-2.23,0.29
Canada,8.24,-7.18,3.86,-0.59,-4.37,6.59
China,7.1,0.73,4.98,0.86,-2.12,0.13
France,5.5,0.61,4.3,0.76,-1.2,0.16
Germany,4.93,0.67,6.41,0.41,1.48,-0.26
India,8.34,0.75,7.51,0.83,-0.83,0.07
Indonesia,10.14,-0.74,6.01,0.42,-4.13,1.16
Italy,8.9,-0.25,4.8,0.58,-4.11,0.83
Japan,4.95,0.18,4.43,0.36,-0.53,0.19
Mexico,12.13,-3.99,6.75,-0.58,-5.38,3.41
Republic_of_Korea,5.38,-0.3,8.9,-2.36,3.52,-2.05
Saudi_Arabia,10.44,0.32,5.79,0.75,-4.65,0.43
South_Africa,5.7,0.25,5.55,0.28,-0.15,0.03
Turkiye,8.35,0.61,5.19,0.8,-3.15,0.2
United_Kingdom,7.7,0.74,9.43,0.7,1.73,-0.04
United_States,7.3,0.84,4.89,0.9,-2.41,0.06
